report_id,type,serial,time,lat,long
8709,incident,1,2022-06-09 04:45:00,36.15,-6.35
8748,incident,2,2022-06-18 06:00:00,36.12221666666667,-6.4001
8810,incident,3,2022-06-24 12:50:00,36.833333333333336,-8.916666666666666
8815,incident,4,2022-07-03 13:00:00,39.35,-9.583333333333334
8819,incident,6,2022-07-03 17:50:00,38.12016666666667,-9.023833333333334
8820,incident,7,2022-07-03 18:30:00,39.4104,-9.64025
8832,incident,8,2022-07-06 07:15:00,35.983333333333334,-5.916666666666667
8866,incident,9,2022-07-12 04:05:00,47.1,-5.5
8877,incident,10,2022-07-16 21:15:00,43.02333333333333,-9.546666666666667
8904,incident,11,2022-06-01 12:30:00,36.335,-6.279
8905,incident,12,2022-06-04 08:00:00,36.07333333333333,-5.998333333333333
8906,incident,13,2022-06-04 02:30:00,36.13333333333333,-6.35
8907,incident,14,2022-07-22 17:20:00,40.40833333333333,-8.893333333333333
8908,incident,15,2022-06-06 06:00:00,36.166666666666664,-6.25
8913,incident,16,2022-06-04 10:30:00,36.05,-6.416666666666667
8930,incident,17,2022-07-25 20:25:00,42.541666666666664,-9.255
8935,incident,18,2022-07-23 00:31:00,45.08083333333333,-2.0341666666666667
8938,incident,19,2022-07-25 05:50:00,42.2295,-9.337833333333334
8943,incident,20,2022-07-25 06:00:00,42.2295,-9.337833333333334
8952,incident,21,2022-07-28 14:15:00,48.15,-6.7
8954,incident,22,2022-07-30 14:10:00,43.8,-7.433333333333334
8991,incident,23,2022-08-02 10:20:00,43.141666666666666,-9.371666666666666
9017,incident,24,2022-08-06 14:50:00,42.866166666666665,-9.234166666666667
9020,incident,25,2022-07-29 12:03:00,43.95,-7.85
9021,incident,26,2022-08-05 10:00:00,43.21666666666667,-9.433333333333334
9040,incident,28,2022-08-08 08:30:00,49.25365,-8.5239
9043,incident,29,2022-08-10 14:30:00,43.30566666666667,-9.001
9050,incident,30,2022-08-08 11:30:00,43.38333333333333,-8.8
9051,incident,31,2022-08-06 18:17:00,42.8784,-9.305333333333333
9052,incident,32,2022-07-30 10:30:00,38.39286666666667,-9.080066666666667
9059,incident,33,2022-08-10 14:00:00,43.3055,-8.986
9072,incident,34,2022-08-12 09:20:00,43.7307,-8.086916666666667
9102,incident,36,2022-07-12 16:00:00,43.89881666666667,-8.029333333333334
9111,incident,37,2022-08-15 07:30:00,46.51358333333334,-5.05245
9124,incident,38,2022-07-28 15:30:00,43.3,-9.016666666666667
9125,incident,39,2022-08-15 01:15:00,43.28333333333333,-9.05
9178,incident,40,2022-08-13 15:00:00,43.77811,-8.467676666666666
